Kód obce,Název obce,Registrovaní voliči,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
530191,Mnichovice,184,114,114,"7,01 %","0,00 %","0,00 %","7,89 %","0,00 %","4,38 %","14,03 %","2,63 %","0,87 %","0,00 %","1,75 %","0,00 %","8,77 %","0,00 %","0,00 %","0,00 %","37,71 %","0,00 %","0,00 %","9,64 %","0,00 %","0,00 %","0,00 %","0,00 %","5,26 %","0,00 %"
530204,Mrač,637,431,429,"10,95 %","0,00 %","0,00 %","4,42 %","0,00 %","13,05 %","7,92 %","2,79 %","0,93 %","1,63 %","0,00 %","0,00 %","10,95 %","0,00 %","0,23 %","3,26 %","32,63 %","0,23 %","0,00 %","1,86 %","0,00 %","1,16 %","0,23 %","0,23 %","7,45 %","0,00 %"
530212,Načeradec,881,512,509,"8,25 %","0,19 %","0,00 %","5,50 %","0,19 %","8,25 %","10,21 %","0,39 %","0,19 %","1,17 %","0,19 %","0,19 %","10,01 %","0,00 %","0,00 %","2,75 %","35,75 %","0,00 %","0,19 %","6,67 %","0,00 %","0,39 %","0,39 %","0,58 %","8,44 %","0,00 %"
530263,Nespeky,545,390,388,"16,75 %","0,00 %","0,00 %","6,18 %","0,00 %","6,70 %","4,89 %","1,54 %","0,25 %","0,77 %","0,00 %","0,00 %","16,23 %","0,00 %","0,25 %","8,76 %","29,89 %","0,00 %","0,00 %","2,06 %","0,00 %","0,25 %","0,00 %","0,25 %","5,15 %","0,00 %"
530298,Netvořice,899,575,573,"11,16 %","0,17 %","0,00 %","7,32 %","0,00 %","8,02 %","10,47 %","1,04 %","0,17 %","1,74 %","0,17 %","0,00 %","10,47 %","0,00 %","0,34 %","4,01 %","32,98 %","0,17 %","0,17 %","1,39 %","0,00 %","0,00 %","0,00 %","0,69 %","9,24 %","0,17 %"
530301,Neustupov,423,264,263,"1,90 %","0,00 %","0,00 %","9,88 %","0,00 %","9,12 %","7,98 %","1,14 %","1,52 %","4,18 %","0,00 %","0,00 %","5,70 %","0,76 %","0,00 %","4,18 %","37,26 %","0,00 %","0,00 %","3,42 %","0,00 %","0,76 %","0,38 %","0,00 %","11,78 %","0,00 %"
530310,Neveklov,2 080,1 238,1 218,"12,56 %","0,16 %","0,00 %","6,65 %","0,08 %","6,23 %","6,73 %","1,72 %","0,65 %","1,47 %","0,24 %","0,24 %","12,06 %","0,08 %","0,16 %","6,81 %","30,87 %","0,08 %","0,32 %","3,20 %","0,08 %","0,08 %","0,16 %","0,49 %","8,70 %","0,08 %"
530344,Olbramovice,991,664,660,"6,66 %","0,00 %","0,15 %","6,21 %","0,00 %","8,63 %","9,24 %","1,36 %","0,45 %","0,15 %","0,00 %","0,00 %","7,42 %","0,60 %","0,00 %","4,24 %","43,18 %","0,15 %","0,00 %","3,03 %","0,00 %","1,06 %","0,30 %","0,15 %","6,51 %","0,45 %"
599395,Ostrov,52,32,30,"6,66 %","0,00 %","0,00 %","0,00 %","0,00 %","10,00 %","13,33 %","0,00 %","0,00 %","0,00 %","0,00 %","3,33 %","16,66 %","0,00 %","0,00 %","0,00 %","33,33 %","0,00 %","0,00 %","3,33 %","0,00 %","3,33 %","0,00 %","0,00 %","10,00 %","0,00 %"
530352,Ostředek,292,206,205,"8,78 %","0,00 %","0,00 %","7,31 %","0,00 %","8,78 %","2,92 %","0,97 %","3,90 %","1,46 %","0,48 %","0,00 %","12,19 %","0,00 %","0,48 %","5,85 %","36,58 %","0,00 %","0,00 %","5,85 %","0,00 %","0,00 %","0,00 %","0,00 %","4,39 %","0,00 %"
533076,Pavlovice,168,121,119,"3,36 %","1,68 %","0,00 %","10,92 %","0,00 %","5,04 %","12,60 %","1,68 %","3,36 %","1,68 %","0,00 %","0,00 %","5,04 %","0,00 %","0,00 %","3,36 %","31,09 %","0,00 %","0,84 %","8,40 %","0,00 %","0,00 %","0,00 %","0,00 %","10,92 %","0,00 %"
530409,Petroupim,243,161,161,"13,04 %","1,24 %","0,00 %","8,07 %","0,00 %","13,66 %","3,72 %","1,86 %","1,24 %","0,00 %","0,62 %","0,00 %","8,07 %","0,00 %","0,00 %","3,10 %","37,88 %","0,00 %","1,86 %","1,24 %","0,00 %","0,62 %","0,00 %","0,00 %","3,72 %","0,00 %"
532649,Popovice,233,157,155,"8,38 %","0,00 %","0,00 %","9,67 %","0,00 %","6,45 %","11,61 %","1,29 %","0,64 %","0,64 %","0,00 %","0,00 %","10,32 %","0,00 %","0,64 %","1,93 %","32,90 %","0,00 %","0,00 %","3,22 %","0,00 %","0,00 %","0,00 %","0,00 %","12,25 %","0,00 %"
530441,Poříčí nad Sázavou,987,671,669,"15,24 %","0,00 %","0,00 %","6,87 %","0,00 %","9,41 %","3,58 %","1,04 %","0,44 %","1,34 %","0,00 %","0,00 %","7,62 %","0,00 %","0,14 %","8,07 %","31,53 %","0,29 %","0,00 %","2,98 %","0,00 %","0,29 %","0,29 %","0,00 %","10,31 %","0,44 %"
530450,Postupice,1 030,662,653,"10,41 %","0,00 %","0,00 %","4,59 %","0,30 %","10,71 %","6,43 %","1,07 %","0,45 %","0,61 %","0,00 %","0,00 %","11,63 %","0,00 %","0,30 %","2,60 %","39,05 %","0,00 %","0,00 %","3,06 %","0,00 %","1,53 %","0,15 %","0,30 %","6,27 %","0,45 %"
530476,Pravonín,447,290,289,"8,99 %","0,00 %","0,00 %","6,57 %","0,00 %","7,61 %","10,38 %","0,69 %","0,00 %","3,11 %","0,00 %","0,00 %","10,03 %","0,00 %","0,00 %","2,07 %","32,87 %","0,00 %","0,00 %","3,80 %","0,00 %","2,07 %","0,00 %","0,00 %","11,76 %","0,00 %"
530492,Přestavlky u Čerčan,296,222,221,"17,64 %","0,45 %","0,00 %","5,88 %","0,00 %","4,52 %","4,52 %","0,90 %","1,80 %","0,45 %","0,00 %","0,00 %","10,85 %","0,45 %","0,00 %","6,78 %","37,10 %","0,00 %","0,00 %","3,16 %","0,00 %","0,00 %","0,00 %","0,45 %","4,52 %","0,45 %"
530514,Psáře,113,69,69,"14,49 %","0,00 %","0,00 %","7,24 %","0,00 %","10,14 %","10,14 %","1,44 %","0,00 %","1,44 %","0,00 %","0,00 %","10,14 %","0,00 %","0,00 %","4,34 %","18,84 %","0,00 %","0,00 %","8,69 %","0,00 %","0,00 %","1,44 %","0,00 %","11,59 %","0,00 %"
538680,Pyšely,1 399,1 014,1 008,"17,36 %","0,00 %","0,09 %","5,95 %","0,00 %","13,39 %","3,96 %","1,58 %","0,69 %","1,78 %","0,09 %","0,29 %","14,48 %","0,09 %","0,29 %","7,24 %","22,12 %","0,00 %","0,00 %","2,67 %","0,00 %","0,69 %","0,00 %","0,00 %","6,94 %","0,19 %"
530522,Rabyně,235,168,168,"22,61 %","0,59 %","0,00 %","5,35 %","0,00 %","6,54 %","6,54 %","0,00 %","1,19 %","0,59 %","0,00 %","0,00 %","11,30 %","0,00 %","0,00 %","5,35 %","24,40 %","0,00 %","0,00 %","4,76 %","0,00 %","0,00 %","0,00 %","0,00 %","8,92 %","1,78 %"
530531,Radošovice,296,184,183,"10,38 %","0,54 %","0,00 %","4,37 %","0,00 %","10,92 %","8,74 %","0,00 %","1,09 %","3,27 %","0,00 %","0,00 %","8,74 %","0,54 %","0,00 %","5,46 %","20,76 %","0,00 %","0,00 %","18,03 %","0,00 %","0,54 %","0,54 %","0,00 %","6,01 %","0,00 %"
530549,Rataje,140,104,104,"7,69 %","0,00 %","0,00 %","9,61 %","0,00 %","9,61 %","10,57 %","1,92 %","1,92 %","0,00 %","0,00 %","0,00 %","5,76 %","0,00 %","0,00 %","2,88 %","26,92 %","0,00 %","0,00 %","11,53 %","0,00 %","0,00 %","0,00 %","0,00 %","11,53 %","0,00 %"
532550,Ratměřice,238,156,155,"11,61 %","0,00 %","0,00 %","4,51 %","0,64 %","22,58 %","6,45 %","1,29 %","0,00 %","0,64 %","0,00 %","0,00 %","6,45 %","0,00 %","0,00 %","7,74 %","26,45 %","0,00 %","0,00 %","2,58 %","0,00 %","0,64 %","0,00 %","1,93 %","6,45 %","0,00 %"
538710,Řehenice,366,252,252,"13,49 %","0,00 %","0,00 %","5,95 %","0,00 %","10,31 %","3,17 %","0,79 %","1,58 %","0,79 %","0,00 %","0,00 %","19,04 %","0,39 %","0,39 %","7,93 %","27,38 %","0,00 %","0,00 %","1,58 %","0,00 %","0,39 %","0,00 %","0,00 %","6,74 %","0,00 %"
532941,Řimovice,180,108,108,"6,48 %","0,00 %","0,00 %","4,62 %","0,00 %","7,40 %","9,25 %","0,92 %","0,92 %","0,92 %","0,00 %","0,00 %","16,66 %","0,00 %","0,00 %","5,55 %","25,00 %","0,00 %","0,00 %","8,33 %","0,00 %","0,00 %","0,00 %","0,00 %","13,88 %","0,00 %"
534382,Sázava,3 090,1 881,1 867,"11,56 %","0,26 %","0,10 %","10,87 %","0,10 %","10,33 %","8,30 %","1,44 %","0,37 %","1,17 %","0,16 %","0,21 %","9,64 %","0,00 %","0,26 %","4,17 %","27,58 %","0,05 %","0,21 %","1,98 %","0,00 %","0,37 %","0,48 %","0,26 %","9,74 %","0,26 %"
532231,Slověnice,31,22,22,"13,63 %","0,00 %","0,00 %","4,54 %","0,00 %","0,00 %","13,63 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4,54 %","0,00 %","0,00 %","0,00 %","36,36 %","0,00 %","0,00 %","9,09 %","0,00 %","0,00 %","0,00 %","0,00 %","18,18 %","0,00 %"
530611,Smilkov,231,146,144,"2,08 %","0,00 %","0,00 %","10,41 %","0,00 %","9,72 %","11,80 %","0,69 %","0,69 %","0,00 %","0,00 %","0,00 %","5,55 %","0,00 %","0,00 %","0,69 %","43,05 %","0,00 %","0,00 %","6,94 %","0,00 %","0,00 %","0,00 %","0,00 %","8,33 %","0,00 %"
532436,Snět,89,64,64,"17,18 %","0,00 %","0,00 %","4,68 %","0,00 %","3,12 %","1,56 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","17,18 %","0,00 %","0,00 %","1,56 %","32,81 %","0,00 %","0,00 %","12,50 %","0,00 %","0,00 %","0,00 %","0,00 %","9,37 %","0,00 %"
530638,Soběhrdy,319,227,225,"10,22 %","0,00 %","0,00 %","7,55 %","0,00 %","10,66 %","5,33 %","0,88 %","0,44 %","0,88 %","0,88 %","0,00 %","11,11 %","0,00 %","0,00 %","6,22 %","32,88 %","0,00 %","0,00 %","4,00 %","0,00 %","0,88 %","0,44 %","0,44 %","7,11 %","0,00 %"
599387,Soutice,219,146,146,"4,10 %","0,00 %","0,00 %","9,58 %","0,00 %","7,53 %","5,47 %","0,68 %","0,68 %","2,73 %","0,00 %","0,00 %","5,47 %","0,00 %","0,00 %","1,36 %","47,94 %","0,00 %","0,00 %","2,73 %","0,00 %","0,00 %","2,05 %","0,00 %","9,58 %","0,00 %"
599379,Stranný,82,51,51,"11,76 %","0,00 %","0,00 %","13,72 %","0,00 %","9,80 %","11,76 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","7,84 %","0,00 %","0,00 %","9,80 %","25,49 %","0,00 %","0,00 %","0,00 %","0,00 %","1,96 %","0,00 %","0,00 %","5,88 %","1,96 %"
599361,Strojetice,103,77,76,"1,31 %","0,00 %","0,00 %","10,52 %","0,00 %","9,21 %","13,15 %","1,31 %","2,63 %","1,31 %","0,00 %","0,00 %","10,52 %","0,00 %","0,00 %","5,26 %","30,26 %","0,00 %","1,31 %","3,94 %","0,00 %","1,31 %","0,00 %","0,00 %","7,89 %","0,00 %"
530689,Struhařov,670,461,459,"12,85 %","0,21 %","0,43 %","5,22 %","0,00 %","6,97 %","7,62 %","1,52 %","0,43 %","1,08 %","0,00 %","0,21 %","10,45 %","0,00 %","0,21 %","3,26 %","39,21 %","0,00 %","0,00 %","2,17 %","0,00 %","0,43 %","0,00 %","0,21 %","6,75 %","0,65 %"
530701,Střezimíř,263,174,174,"6,89 %","0,00 %","0,00 %","2,87 %","0,00 %","9,77 %","6,89 %","0,57 %","1,14 %","3,44 %","0,00 %","0,00 %","9,19 %","0,00 %","0,00 %","0,57 %","43,67 %","0,00 %","0,00 %","4,02 %","0,57 %","0,00 %","0,00 %","0,00 %","10,34 %","0,00 %"
530719,Studený,82,54,54,"14,81 %","1,85 %","0,00 %","5,55 %","0,00 %","14,81 %","12,96 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","3,70 %","0,00 %","0,00 %","0,00 %","33,33 %","1,85 %","0,00 %","9,25 %","0,00 %","0,00 %","0,00 %","0,00 %","1,85 %","0,00 %"
532509,Šetějovice,48,38,38,"7,89 %","0,00 %","0,00 %","10,52 %","0,00 %","10,52 %","2,63 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,63 %","0,00 %","0,00 %","2,63 %","39,47 %","0,00 %","0,00 %","13,15 %","0,00 %","0,00 %","0,00 %","0,00 %","10,52 %","0,00 %"
530751,Tehov,249,165,165,"1,81 %","0,00 %","0,00 %","12,72 %","0,00 %","7,87 %","9,09 %","0,60 %","1,21 %","0,00 %","0,00 %","0,00 %","6,66 %","0,00 %","0,00 %","4,84 %","33,93 %","0,00 %","0,00 %","4,24 %","0,00 %","0,60 %","0,00 %","0,00 %","15,75 %","0,60 %"
530760,Teplýšovice,383,289,288,"7,63 %","0,00 %","0,00 %","8,68 %","0,00 %","14,23 %","5,90 %","2,08 %","0,69 %","1,04 %","0,00 %","0,00 %","9,02 %","0,00 %","0,34 %","1,38 %","33,33 %","0,00 %","0,34 %","8,33 %","0,00 %","1,04 %","0,00 %","0,00 %","5,90 %","0,00 %"
530778,Tichonice,179,137,137,"11,67 %","0,00 %","0,00 %","10,21 %","0,00 %","3,64 %","6,56 %","0,00 %","0,00 %","3,64 %","0,72 %","0,00 %","7,29 %","0,72 %","0,00 %","3,64 %","36,49 %","0,00 %","0,00 %","1,45 %","0,00 %","0,00 %","4,37 %","0,00 %","9,48 %","0,00 %"
532592,Tisem,184,128,128,"6,25 %","0,00 %","0,00 %","11,71 %","0,00 %","9,37 %","5,46 %","2,34 %","0,00 %","0,78 %","0,00 %","0,00 %","9,37 %","0,00 %","0,00 %","4,68 %","32,81 %","0,00 %","0,00 %","2,34 %","0,00 %","0,00 %","0,00 %","0,00 %","14,84 %","0,00 %"
532541,Tomice,105,75,75,"5,33 %","0,00 %","0,00 %","5,33 %","0,00 %","2,66 %","10,66 %","0,00 %","0,00 %","2,66 %","1,33 %","0,00 %","2,66 %","0,00 %","0,00 %","0,00 %","34,66 %","0,00 %","0,00 %","17,33 %","0,00 %","0,00 %","0,00 %","1,33 %","16,00 %","0,00 %"
530816,Trhový Štěpánov,1 029,643,634,"9,77 %","0,00 %","0,15 %","6,62 %","0,00 %","7,57 %","6,30 %","0,78 %","1,10 %","0,94 %","0,00 %","0,00 %","9,30 %","0,00 %","0,00 %","3,94 %","34,22 %","0,00 %","0,31 %","7,09 %","0,00 %","0,94 %","0,15 %","0,31 %","10,41 %","0,00 %"
532304,Třebešice,82,68,68,"19,11 %","0,00 %","0,00 %","4,41 %","0,00 %","11,76 %","7,35 %","1,47 %","0,00 %","1,47 %","0,00 %","0,00 %","22,05 %","0,00 %","0,00 %","4,41 %","20,58 %","0,00 %","0,00 %","2,94 %","0,00 %","0,00 %","0,00 %","0,00 %","4,41 %","0,00 %"
530841,Týnec nad Sázavou,4 550,2 943,2 922,"10,09 %","0,17 %","0,00 %","5,98 %","0,13 %","9,30 %","9,06 %","1,12 %","1,12 %","1,23 %","0,00 %","0,17 %","10,50 %","0,10 %","0,17 %","3,55 %","34,18 %","0,03 %","0,27 %","1,88 %","0,00 %","0,30 %","0,13 %","0,68 %","9,30 %","0,41 %"
532061,Václavice,455,290,289,"10,38 %","0,00 %","0,00 %","9,34 %","0,00 %","14,18 %","4,15 %","0,00 %","0,34 %","4,49 %","0,00 %","0,00 %","11,07 %","0,00 %","0,34 %","1,73 %","29,41 %","0,00 %","0,34 %","3,46 %","0,00 %","1,38 %","0,34 %","0,69 %","7,26 %","1,03 %"
530867,Veliš,270,189,189,"4,76 %","0,00 %","0,00 %","4,76 %","0,00 %","8,46 %","7,93 %","0,00 %","1,05 %","0,52 %","0,00 %","0,52 %","3,17 %","0,00 %","0,00 %","4,23 %","37,56 %","0,00 %","0,52 %","12,16 %","0,00 %","0,00 %","1,05 %","0,00 %","13,22 %","0,00 %"
530883,Vlašim,9 453,5 687,5 644,"8,92 %","0,15 %","0,14 %","9,46 %","0,03 %","6,52 %","8,23 %","1,00 %","0,56 %","1,08 %","0,03 %","0,03 %","9,30 %","0,03 %","0,03 %","3,82 %","32,99 %","0,03 %","0,12 %","5,47 %","0,05 %","0,53 %","0,21 %","0,14 %","10,80 %","0,21 %"
532614,Vodslivy,84,43,43,"11,62 %","0,00 %","0,00 %","6,97 %","0,00 %","2,32 %","0,00 %","0,00 %","2,32 %","4,65 %","2,32 %","0,00 %","9,30 %","0,00 %","0,00 %","4,65 %","23,25 %","0,00 %","0,00 %","11,62 %","0,00 %","0,00 %","0,00 %","2,32 %","18,60 %","0,00 %"
530891,Vojkov,427,250,249,"8,43 %","0,40 %","0,40 %","9,23 %","0,40 %","6,02 %","9,23 %","0,80 %","0,40 %","0,40 %","0,00 %","0,00 %","10,84 %","0,00 %","0,00 %","2,81 %","36,14 %","0,40 %","0,00 %","5,62 %","0,80 %","1,20 %","0,00 %","0,00 %","6,42 %","0,00 %"
530905,Votice,3 676,2 230,2 219,"9,37 %","0,18 %","0,00 %","8,83 %","0,04 %","8,20 %","7,52 %","0,67 %","0,67 %","1,53 %","0,31 %","0,09 %","10,41 %","0,04 %","0,00 %","4,05 %","35,10 %","0,00 %","0,18 %","3,33 %","0,04 %","0,45 %","0,18 %","0,13 %","8,42 %","0,18 %"
530913,Vracovice,326,201,199,"7,03 %","0,50 %","0,00 %","7,03 %","0,00 %","7,53 %","4,52 %","0,00 %","1,50 %","3,01 %","0,00 %","0,00 %","11,05 %","0,00 %","0,00 %","5,02 %","33,66 %","1,50 %","0,00 %","11,05 %","0,00 %","0,00 %","0,50 %","0,00 %","6,03 %","0,00 %"
530921,Vranov,332,244,244,"11,88 %","0,00 %","0,00 %","4,50 %","0,00 %","10,65 %","8,60 %","0,81 %","0,40 %","1,22 %","0,40 %","0,40 %","11,47 %","0,00 %","0,40 %","5,73 %","32,78 %","0,40 %","0,00 %","5,73 %","0,00 %","0,00 %","0,00 %","0,00 %","4,50 %","0,00 %"
530948,Vrchotovy Janovice,785,492,488,"4,91 %","0,20 %","0,00 %","7,99 %","0,00 %","10,04 %","7,78 %","1,43 %","1,22 %","0,61 %","0,20 %","0,20 %","11,06 %","0,00 %","0,00 %","3,89 %","35,65 %","0,00 %","0,40 %","2,45 %","0,00 %","0,61 %","0,20 %","0,20 %","10,65 %","0,20 %"
532266,Všechlapy,84,65,64,"26,56 %","0,00 %","0,00 %","6,25 %","0,00 %","9,37 %","7,81 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","10,93 %","0,00 %","0,00 %","10,93 %","17,18 %","0,00 %","0,00 %","1,56 %","0,00 %","0,00 %","0,00 %","0,00 %","9,37 %","0,00 %"
513482,Vysoký Újezd,163,113,113,"17,69 %","0,00 %","0,00 %","9,73 %","0,00 %","0,88 %","10,61 %","2,65 %","4,42 %","3,53 %","0,88 %","0,00 %","2,65 %","0,00 %","0,00 %","7,07 %","26,54 %","0,00 %","0,00 %","1,76 %","0,00 %","7,07 %","0,00 %","0,88 %","3,53 %","0,00 %"
571415,Xaverov,49,36,36,"8,33 %","0,00 %","0,00 %","16,66 %","0,00 %","27,77 %","11,11 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","13,88 %","0,00 %","0,00 %","0,00 %","8,33 %","0,00 %","0,00 %","11,11 %","0,00 %","0,00 %","0,00 %","0,00 %","2,77 %","0,00 %"
531022,Zdislavice,462,320,318,"5,66 %","0,31 %","0,00 %","7,23 %","0,00 %","7,86 %","10,69 %","0,62 %","0,31 %","2,20 %","0,00 %","0,00 %","7,54 %","0,00 %","0,00 %","3,14 %","37,73 %","0,00 %","0,00 %","7,54 %","0,00 %","1,88 %","0,00 %","0,31 %","6,91 %","0,00 %"
531049,Zvěstov,303,178,178,"11,23 %","0,00 %","0,00 %","8,98 %","0,00 %","11,79 %","3,37 %","0,56 %","1,12 %","2,24 %","0,00 %","0,00 %","5,61 %","0,00 %","0,00 %","3,37 %","36,51 %","0,00 %","0,00 %","5,61 %","0,00 %","0,56 %","0,00 %","0,00 %","8,42 %","0,56 %"
